overview:
S_D_p:79.164
S_D_r:65.827
S_D_f1:71.882
S_C_p:70.548
S_C_r:58.663
S_C_f1:64.059
C_D_p:82.999
C_D_r:67.009
C_D_f1:74.152
C_C_p:73.591
C_C_r:59.415
C_C_f1:65.748

bad cases:
原始: 中国民生经济网讯（何存军）今年来，四川资中县水务局依托中央小农水、中小河流防洪综合治理、农村饮水安全、农田水利基本建设四大重点民心工程，开展工作，服务社会，造福百姓，实现了社会效益与生态效益“双赢”
正确: 中国民生经济网讯（何存军）【今】年来，四川资中县水务局依托中央小农水、中小河流防洪综合治理、农村饮水安全、农田水利基本建设四大重点民心工程，开展工作，服务社会，造福百姓，实现了社会效益与生态效益“双赢”
预测: 中国民生经济网讯（何存军）【近】年来，四川资中县水务局依托中央小农水、中小河流防洪综合治理、农村饮水安全、农田水利基本建设四大重点民心工程，开展工作，服务社会，造福百姓，实现了社会效益与生态效益“双赢”
错误类型: 过纠

原始: 图为塔玛拉获奖后喜极而涕
正确: 图为塔玛拉获奖后喜极而【涕】
预测: 图为塔玛拉获奖后喜极而【泣】
错误类型: 过纠

原始: 房地产在中国已经不是房地产而是金融，该买房的要及时下手了；房地产补贴了工业企业而不是房地产拖累了中国经济；房地产总数量上早已经全面过剩，但房地产是不动产，局部过剩不会转变成全国性过剩；房地产救市是纠正过去的错失
正确: 房地产在中国已经不是房地产而是金融，该买房的要及时下手了；房地产补贴了工业企业而不是房地产拖累了中国经济；房地产总数量上早已经全面过剩，但房地产是不动产，局部过剩不会转变成全国性过剩；房地产救市是纠正过去的【措】【施】
预测: 房地产在中国已经不是房地产而是金融，该买房的要及时下手了；房地产补贴了工业企业而不是房地产拖累了中国经济；房地产总数量上早已经全面过剩，但房地产是不动产，局部过剩不会转变成全国性过剩；房地产救市是纠正过去的【错】【失】
错误类型: 漏纠

原始: 据上海轨交有关负责人介绍，每位进入轨交的乘客都会被抓怕四张正面照片，一旦发现“坏人”，警方可根据监控视频记录，迅速查找到嫌疑人轨迹
正确: 据上海轨交有关负责人介绍，每位进入轨交的乘客都会被抓【拍】四张正面照片，一旦发现“坏人”，警方可根据监控视频记录，迅速查找到嫌疑人轨迹
预测: 据上海轨交有关负责人介绍，每位进入轨交的乘客都会被抓【取】四张正面照片，一旦发现“坏人”，警方可根据监控视频记录，迅速查找到嫌疑人轨迹
错误类型: 综合

原始: 出道3年才首领工资，还有队员在生病输液中被强行带走演出，医药费得像父母伸手要
正确: 出道3年才首领工资，还有队员在生病输液中被强行带走演出，医药费得【向】父母伸手要
预测: 出道3年才首领工资，还有队员在生病输液中被强行带走演出，医药费得【像】父母伸手要
错误类型: 漏纠

原始: 没有带卡，直接去了1万多现金，买了两台
正确: 没有带卡，直接【取】了1万多现金，买了两台
预测: 没有带卡，直接【去】了1万多现金，买了两台
错误类型: 漏纠

原始: 亚马逊通过发扬节约的理念，并把其应用于从运营到品牌标识，再至KindleFire平板电脑等一系列新产品之中，削减成本是亚马逊的抱角石
正确: 亚马逊通过发扬节约的理念，并把其应用于从运营到品牌标识，再至KindleFire平板电脑等一系列新产品之中，削减成本是亚马逊的抱【脚】石
预测: 亚马逊通过发扬节约的理念，并把其应用于从运营到品牌标识，再至KindleFire平板电脑等一系列新产品之中，削减成本是亚马逊的抱【角】石
错误类型: 漏纠

原始: 下半时维尔贝克和鲁尼为曼联再入2球，斯托克城由凯特力扳回一球
正确: 下半时维尔贝克和鲁尼为曼联再入2球，斯托克城由凯特【利】扳回一球
预测: 下半时维尔贝克和鲁尼为曼联再入2球，斯托克城由凯特【力】扳回一球
错误类型: 漏纠

原始: 今年来北京等大城市出现的严重雾霾和PM2.5屡屡高冲，上海城区92%以上的污染源是交通尾气排放，并与市民呼吸系统疾病上升呈正相关
正确: 【近】年来北京等大城市出现的严重雾霾和PM2.5屡屡高【冲】，上海城区92%以上的污染源是交通尾气排放，并与市民呼吸系统疾病上升呈正相关
预测: 【今】年来北京等大城市出现的严重雾霾和PM2.5屡屡高【压】，上海城区92%以上的污染源是交通尾气排放，并与市民呼吸系统疾病上升呈正相关
错误类型: 综合

原始: 北京市交通委发布了出租车企业考核的具体办法，主管部门将根据出车率、电召率、投诉率等十六项标准对企业进行量化打分，并按4个定级评定，连续三年等级最低将收回所有车辆运营指标，出租车企业将面临关门
正确: 北京市交通委发布了出租车企业考核的具体办法，主管部门将根据出车率、电召率、投诉率等十六项标准对企业进行量化打分，并按4个【等】级评定，连续三年等级最低将收回所有车辆运营指标，出租车企业将面临关门
预测: 北京市交通委发布了出租车企业考核的具体办法，主管部门将根据出车率、电召率、投诉率等十六项标准对企业进行量化打分，并按4个【定】级评定，连续三年等级最低将收回所有车辆运营指标，出租车企业将面临关门
错误类型: 漏纠

原始: 潮宏基2月24日在深交所互动易表示，公司近期确是与O2O模式专业媒体研究和咨询机构——“品途网”正式签约合作，对公司O2O线上线下融合业务提供协助、指导及技术支持，包括O2O策略规划、微商城搭建、线上线下活动实施等
正确: 潮宏基2月24日在深交所互动易表示，公司近期确【实】与O2O模式专业媒体研究和咨询机构——“品途网”正式签约合作，对公司O2O线上线下融合业务提供协助、指导及技术支持，包括O2O策略规划、微商城搭建、线上线下活动实施等
预测: 潮宏基2月24日在深交所互动易表示，公司近期确【是】与O2O模式专业媒体研究和咨询机构——“品途网”正式签约合作，对公司O2O线上线下融合业务提供协助、指导及技术支持，包括O2O策略规划、微商城搭建、线上线下活动实施等
错误类型: 漏纠

原始: 据了解，许多4万元以上项目都通过排号等方式早早完成了客户积累，一旦禁令接触开闸入市，这些中高端楼盘或将形成新的日光盘，并且，由于土地价格的居高不下，业内认为4万元以上盘的占比将更大，数量上会在今年明显扩容
正确: 据了解，许多4万元以上项目都通过排号等方式早早完成了客户积累，一旦禁令【解】【除】开闸入市，这些中高端楼盘或将形成新的日光盘，并且，由于土地价格的居高不下，业内认为4万元以上盘的占比将更大，数量上会在今年明显扩容
预测: 据了解，许多4万元以上项目都通过排号等方式早早完成了客户积累，一旦禁令【接】【触】开闸入市，这些中高端楼盘或将形成新的日光盘，并且，由于土地价格的居高不下，业内认为4万元以上盘的占比将更大，数量上会在今年明显扩容
错误类型: 漏纠

原始: 美国知名新闻周刊《美国新闻与世界报导》社长周一警告，仅管美国联准会提供国内额外1兆美元的资金供应，并采取历史上“最具刺激性的财政政策”，但过去3年美国经济成长实际上却持续下滑
正确: 美国知名新闻周刊《美国新闻与世界报导》社长周一警告，【尽】管美国联准会提供国内额外1兆美元的资金供应，并采取历史上“最具刺激性的财政政策”，但过去3年美国经济成长实际上却持续下滑
预测: 美国知名新闻周刊《美国新闻与世界报导》社长周一警告，【仅】管美国联准会提供国内额外1兆美元的资金供应，并采取历史上“最具刺激性的财政政策”，但过去3年美国经济成长实际上却持续下滑
错误类型: 漏纠

原始: 银行业确实标准的一枝独秀，16家上市银行净利润同比增长18%
正确: 银行业【却】【是】标准的一枝独秀，16家上市银行净利润同比增长18%
预测: 银行业【确】【实】标准的一枝独秀，16家上市银行净利润同比增长18%
错误类型: 漏纠

原始: 犹记去年一女粉丝在其微博下狂刷6万评论，今年则有更多花痴女每天嘘寒问暖，希望博得汤少关注
正确: 犹记去年一女粉丝在其微博下狂刷6万评论，今年则有更多花痴女每天嘘寒问暖，希望博得【汤】少关注
预测: 犹记去年一女粉丝在其微博下狂刷6万评论，今年则有更多花痴女每天嘘寒问暖，希望博得【不】少关注
错误类型: 过纠

原始: 投资者谭先生表示，他随手中有理但却无处伸冤
正确: 投资者谭先生表示，他【虽】手中有理但却无处伸冤
预测: 投资者谭先生表示，他【们】手中有理但却无处伸冤
错误类型: 综合

原始: 去年春节，胡先生在中国人民大学和北京师范大学一年一度的聚餐会上，他谈笑风生，述说自己最近关于语言学思考是的音容笑貌宛如昨日，他一再说起如何促进黎锦熙先生全集的出版，说起关于海宁方言志的校对……
正确: 去年春节，胡先生在中国人民大学和北京师范大学一年一度的聚餐会上，他谈笑风生，述说自己最近关于语言学思考【似】的音容笑貌宛如昨日，他一再说起如何促进黎锦熙先生全集的出版，说起关于海宁方言志的校对……
预测: 去年春节，胡先生在中国人民大学和北京师范大学一年一度的聚餐会上，他谈笑风生，述说自己最近关于语言学思考【时】的音容笑貌宛如昨日，他一再说起如何促进黎锦熙先生全集的出版，说起关于海宁方言志的校对……
